ID,type,subtype,date,year,month,day,hour,georef,district,municipali,parish,DICOFREG,source,sourcedate,sourcetype,page,fatalities,injured,evacuated,displaced,missing
1b6e88482a75d4a551933d7f9aa9c0b9,Other,Other,04/06/2025,2025,6,4,14:20,guarda,Guarda,Guarda,guarda,,diarioviseu,2025-06-05,web,https://www.diarioviseu.pt/2025/06/04/liga-nacoes-uefa-esta-a-monitorizar-mau-tempo-em-munique/,0,0,0,0,0
b59bd9d0ea2b18028c3c5a5ac6609947,Other,Other,04/06/2025,2025,6,4,18:22,guarda,Guarda,Guarda,guarda,,abola,2025-06-05,web,https://www.abola.pt/selecao/noticias/chuva-de-granizo-envia-guarda-redes-do-alemanha-portugal-para-os-balnearios-2025060418222736357,0,0,0,0,0
6df4e1edab7c3f38b5c3d13d41396b0b,Other,Other,05/06/2025,2025,6,5,05:27,resende,Viseu,Resende,resende,181311,noticias,2025-06-05,web,https://noticias.uol.com.br/previsao-do-tempo/2025/06/05/resende-rj-temperatura-hoje.htm?uol_app=placaruol,0,0,0,0,0
6808c9b1fb755139f61d9af508f5def5,Other,Other,04/06/2025,2025,6,4,09:28,aveiro,Aveiro,Aveiro,aveiro,,noticiasaominuto,2025-06-05,web,https://www.noticiasaominuto.com/pais/2799688/pode-chover-nos-proximos-dias-mas-calor-voltara-em-breve-saiba-quando,0,8,0,0,0
f9584fe8ec2e8643cdca57b3b883c3a3,Other,Other,05/06/2025,2025,6,5,05:27,crato,Portalegre,Crato,crato,,noticias,2025-06-05,web,https://noticias.uol.com.br/previsao-do-tempo/2025/06/05/crato-ce-temperatura-hoje.amp.htm,0,0,0,0,0
592ddd0cf5340129c295a47d96c32332,Other,Other,04/06/2025,2025,6,4,14:33,aveiro,Aveiro,Aveiro,aveiro,,noticiasaominuto,2025-06-05,web,https://www.noticiasaominuto.com/pais/2799948/agua-potavel-responsavel-por-18-dos-obitos-por-diarreia-em-portugal,0,8,0,0,0
1e795af93eb00e95e13b9722432e619a,Other,Other,04/06/2025,2025,6,4,11:21,aveiro,Aveiro,Aveiro,aveiro,,noticiasaominuto,2025-06-05,web,https://www.noticiasaominuto.com/pais/2799796/escoces-desaparecido-em-albufeira-foi-encontrado-morto-pj-no-local,0,8,0,0,0
