ID,type,subtype,date,year,month,day,hour,georef,district,municipali,parish,DICOFREG,source,sourcedate,sourcetype,page,fatalities,injured,evacuated,displaced,missing
37e488a30c71dc58f1a5245a2305df99,Landslide,deslizamento,15/10/2018,2018,10,15,07:00,coimbra,Coimbra,Coimbra,coimbra,,cmjornal,2025-04-22,web,https://www.cmjornal.pt/portugal/detalhe/mau-tempo-situacoes-agricolas-mais-preocupantes-no-centro-devido-a-tempestade----governo,0,28,0,61,0
08df6f02877f2f23c6672997df411225,Flood,cheia,13/10/2022,2022,10,13,07:00,lagos,Faro,Lagos,lagos,,pcp,2025-04-22,web,https://www.pcp.pt/prevencao-das-cheias-ordenamento-do-territorio,10,0,0,0,0
fb7f7436cd7b243093947e8aac1802b1,Flood,cheia,14/12/2022,2022,12,14,08:00,braga,Braga,Braga,braga,,radioregional,2025-04-22,web,https://radioregional.pt/agricultores-do-mondego-querem-prevencao-para-evitar-cheias/,0,0,0,83,0
b096c055eee230011996df4b481bba1b,Flood,cheia,27/10/2011,2011,10,27,07:00,aveiro,Aveiro,Aveiro,aveiro,,tvi,2025-04-22,web,https://tvi.iol.pt/noticias/sociedade/instituto-de-meteorologia/mau-tempo-continua-com-chuva-e-vento,0,1,0,0,0
b89620f2e26916fd64382b0afa7d7f91,Other,Other,14/10/2018,2018,10,14,07:00,aveiro,Aveiro,Aveiro,aveiro,,observador,2025-04-22,web,https://observador.pt/2018/10/14/o-rasto-de-destruicao-de-leslie-na-figueira-da-foz-por-onde-a-tempestade-entrou/,0,0,0,61,0
65e024df28f6090213b56801a5c5a24e,Flood,cheia,05/11/2024,2024,11,5,08:00,alenquer,Lisboa,Alenquer,alenquer,,nationalgeographic,2025-04-22,web,https://www.nationalgeographic.pt/meio-ambiente/rapidas-cheias-1967-lisboa_4474,250,0,0,0,0
147e0beb53c52ad2e906ec8882172973,Other,Other,15/12/2022,2022,12,15,08:00,lousã,Coimbra,Lousã,lousã,110708.0,cnnportugal,2025-04-22,web,https://cnnportugal.iol.pt/mau-tempo/loures/mau-tempo-familias-e-comerciantes-de-loures-devem-pedir-apoio-ate-terca-feira/20221215/639b36bb0cf2aea785828b75,0,0,0,12,0
d7d99850fe1e10c385e3afdb182aa505,Landslide,deslizamento,04/12/2021,2021,12,4,02:12,beja,Beja,Beja,beja,,cnnportugal,2025-04-22,web,https://cnnportugal.iol.pt/sociedade/chuva/temporal-bombeiros-de-vila-real-sem-descanso,1,0,0,0,0
66d75d43eceecd0c85b9bd01794cc8e5,Landslide,deslizamento,17/10/2018,2018,10,17,07:00,coimbra,Coimbra,Coimbra,coimbra,,jornalterrasdesico,2025-04-22,web,https://www.jornalterrasdesico.pt/2018/10/mau-temporestabelecida-circulacao-ferroviaria-entre-lourical-e-figueira-da-foz/,0,28,0,61,0
5084470b7f66fa118d7ec3bfdc652195,Other,Other,20/03/2025,2025,3,20,07:00,mira,Coimbra,Mira,mira,60801.0,noticiasaominuto,2025-04-22,web,https://www.noticiasaominuto.com/economia/2751052/agricultura-cap-faz-as-contas-aos-prejuizos-causados-pelo-mau-tempo,0,0,0,15,0
9b843f56061d89abb38d26575248dee7,Other,Other,20/03/2025,2025,3,20,07:00,coimbra,Coimbra,Coimbra,coimbra,,publico,2025-04-22,web,https://www.publico.pt/2025/03/20/azul/noticia/mau-tempo-condiciona-circulacao-ferroviaria-lisboa-ha-varias-estradas-cortadas-2126634,0,6,0,0,0
3c237ee858092182927c21a6e62f5e8e,Landslide,deslizamento,15/10/2018,2018,10,15,07:00,coimbra,Coimbra,Coimbra,coimbra,,,2025-04-22,web,https://24.sapo.pt/atualidade/artigos/tempestade-leslie-mira-encerra-escolas-por-falta-de-condicoes-e-queixa-se-de-isolamento,0,28,0,61,0
77a47a6a0db0babccb9385233f7ab793,Flood,cheia,29/12/2020,2020,12,29,08:00,lisboa,Lisboa,Lisboa,lisboa,,rfi,2025-04-22,web,https://www.rfi.fr/pt/mo%C3%A7ambique/20201229-mo%C3%A7ambique-em-alerta-vermelho-na-mira-da-tempestade-tropical-severa-chalane,604,0,0,0,0
ac282644f51b277d902b657f79387bed,Landslide,deslizamento,15/10/2018,2018,10,15,07:00,coimbra,Coimbra,Coimbra,coimbra,,,2025-04-22,web,https://24.sapo.pt/atualidade/artigos/leslie-miranda-do-corvo-com-muitos-estragos-nas-coberturas-das-coletividades,0,28,0,61,0
30229ceb89de8abe62ffe3171c6ac076,Flood,cheia,21/12/2019,2019,12,21,08:00,águeda,Aveiro,Águeda,águeda,10104.0,rtp,2025-04-22,web,https://www.rtp.pt/noticias/pais/mau-tempo-acompanhe-a-situacao-ao-minuto_e1193514,2,4,0,144,1
7153cbb26f4ac98205734a9791350a4e,Flood,cheia,22/12/2019,2019,12,22,08:00,aveiro,Aveiro,Aveiro,aveiro,,rtp,2025-04-22,web,https://www.rtp.pt/noticias/pais/mau-tempo-acompanhe-a-situacao-ao-minuto_e1193649,2,0,0,0,1
7202ea442d5fa5ff43ec783bea161deb,Flood,cheia,24/12/2019,2019,12,24,08:00,coimbra,Coimbra,Coimbra,coimbra,,sicnoticias,2025-04-22,web,https://sicnoticias.pt/pais/2019-12-24-Situacao-de-cheia-no-Vale-do-Mondego-esta-a-estabilizar,2,0,0,0,1
f693c1142601538dad911393ecd6193c,Flood,cheia,28/12/2019,2019,12,28,08:00,coimbra,Coimbra,Coimbra,coimbra,,expresso,2025-04-22,web,https://expresso.pt/sociedade/2019-12-28-Marcelo-foi-ver-as-zonas-afetadas-pelas-cheias-no-Baixo-Mondego-e-deixou-elogios-a-capacidade-de-resistencia,3,0,0,0,0
dd37a99c3015bc4f8376e6088ef2d800,Flood,cheia,21/12/2019,2019,12,21,08:00,aveiro,Aveiro,Aveiro,aveiro,,jornalterrasdesico,2025-04-22,web,https://www.jornalterrasdesico.pt/2019/12/montemor-o-velho-camara-lanca-alerta-maximo-de-risco-de-cheia/,2,0,0,0,1
c6c066eeda0d54d76d939b00d615cb8d,Other,Other,24/05/2024,2024,5,24,17:13,aveiro,Aveiro,Aveiro,aveiro,,asbeiras,2025-04-22,web,https://www.asbeiras.pt/inundacoes-e-acidentes-devido-ao-temporal-na-regiao-de-coimbra/,0,1,0,0,0
e6016116213f77876871bd70253b2780,Landslide,deslizamento,14/10/2018,2018,10,14,07:00,coimbra,Coimbra,Coimbra,coimbra,,rr,2025-04-22,web,https://rr.pt/noticia/pais/2018/10/14/tempestade-leslie-fez-um-morto-em-montemor-o-velho/127438/,1,3,0,61,0
d15345591fed4ebb81ce65ecbba0aa80,Other,Other,21/12/2019,2019,12,21,08:00,aveiro,Aveiro,Aveiro,aveiro,,jornalterrasdesico,2025-04-22,web,https://www.jornalterrasdesico.pt/2019/12/mau-tempo-coimbra-activa-plano-distrital-de-emergencia-e-proteccao-civil/,2,0,0,0,1
d373b61d126e952ef5d7d5f0025cc492,Flood,cheia,21/12/2019,2019,12,21,08:00,aveiro,Aveiro,Aveiro,aveiro,,jornalterrasdesico,2025-04-22,web,https://www.jornalterrasdesico.pt/2019/12/mau-tempo-quatrocentos-operacionais-apoiam-tres-concelhos-do-baixo-mondego/,2,0,0,0,1
b953dfce1c75c5cba8be5f231aeb6797,Landslide,deslizamento,14/10/2018,2018,10,14,07:00,coimbra,Coimbra,Coimbra,coimbra,,tvi,2025-04-22,web,https://tvi.iol.pt/noticias/sociedade/furacao-leslie/inem-nega-haver-mortes-relacionadas-com-a-tempestade-leslie,0,28,0,61,0
35e6de0738d29f495c97aa14b05c651b,Other,Other,20/03/2025,2025,3,20,07:00,coimbra,Coimbra,Coimbra,coimbra,,cnnportugal,2025-04-22,web,https://cnnportugal.iol.pt/protecao-civil/ocorrencias/cenario-de-chuva-e-vento-forte-vai-manter-se-ate-sabado-e-nao-se-descartam-fenomenos-de-vento-extremo/20250320/67dc06cfd34e3f0bae9bdba7,0,0,0,15,0
a29b87e45abcc6ced7f24e720d25b231,Other,Other,20/03/2025,2025,3,20,00:09,aveiro,Aveiro,Aveiro,aveiro,,rr,2025-04-22,web,https://rr.pt/noticia/pais/2025/03/20/depressao-martinho-tempestade-provocou-994-ocorrencias-ate-a-meia-noite/418236/,0,0,0,13,0
29d669d27ce14f0b540b2281b56d6cd7,Landslide,deslizamento,14/10/2018,2018,10,14,07:00,aveiro,Aveiro,Aveiro,aveiro,,sicnoticias,2025-04-22,web,https://sicnoticias.pt/arquivo/tempestade-leslie/2018-10-14-Nao-ha-vitimas-mortais-relacionadas-com-a-tempestade-Leslie,1,28,0,61,0
f8e01ed641726130baeebf73b5170afd,Landslide,desabamento,20/12/2019,2019,12,20,08:00,águeda,Aveiro,Águeda,águeda,10104.0,cmjornal,2025-04-22,web,https://www.cmjornal.pt/sociedade/detalhe/depressao-elsa-faz-dois-mortos-e-deixa-rasto-de-destruicao-em-portugal,2,0,0,51,0
94347980076142190531866c4b613b31,Other,Other,11/10/2019,2019,10,11,07:00,coimbra,Coimbra,Coimbra,coimbra,,jornalterrasdesico,2025-04-22,web,https://www.jornalterrasdesico.pt/2019/10/mau-tempo-leslie-soure-lamenta-lentidao-do-estado-para-definir-e-atribuir-apoios/,0,28,0,61,0
d69156ad9d4ad743ea62db513d8066c5,Other,Other,16/10/2018,2018,10,16,07:00,coimbra,Coimbra,Coimbra,coimbra,,,2025-04-22,web,https://24.sapo.pt/atualidade/artigos/tempestade-leslie-hotel-das-termas-do-bicanho-em-soure-afetado-pelo-temporal,0,28,0,61,0
22e66c1c8bf2a5b8ee4fb0c49c9b1803,Landslide,deslizamento,18/10/2018,2018,10,18,07:00,soure,Coimbra,Soure,soure,61509.0,jornalterrasdesico,2025-04-22,web,https://www.jornalterrasdesico.pt/2018/10/mau-tempo-instituto-pedro-hispano-em-soure-apenas-reabre-na-segunda-feira/,0,28,0,61,0
3662304e7d5fa258709e2fcb5b5afd3d,Landslide,deslizamento,18/10/2018,2018,10,18,07:00,soure,Coimbra,Soure,soure,61509.0,jornalterrasdesico,2025-04-22,web,https://www.jornalterrasdesico.pt/2018/10/mau-tempo-instituto-pedro-hispano-em-soure-reabre-amanha/,0,28,0,61,0
1435631e472418e2e29570ec99e675df,Landslide,deslizamento,14/10/2018,2018,10,14,07:00,coimbra,Coimbra,Coimbra,coimbra,,tvi,2025-04-22,web,https://tvi.iol.pt/noticias/sociedade/leslie/mau-tempo-danos-na-rede-eletrica-sao-muito-significativos,1,28,0,61,0
2734e1dba86a68de09776c019ee681c7,Flood,cheia,19/02/2020,2020,2,19,08:00,lisboa,Lisboa,Lisboa,lisboa,,sicnoticias,2025-04-22,web,https://sicnoticias.pt/pais/2020-02-19-Ha-10-anos-a-Madeira-vivia-uma-das-piores-tempestades-da-historia-1,47,250,0,600,4
62e9ea8906d19f1897b121a8b546fb47,Flood,inundacao,16/10/2024,2024,10,16,07:00,arraiolos,Évora,Arraiolos,arraiolos,70201.0,rr,2025-04-22,web,https://rr.pt/noticia/pais/2024/10/16/mau-tempo-provocou-ja-mais-de-350-ocorrencias-ate-as-7h00/397680/,0,0,0,6,0
359aff6e8cf12db163ce64db2acb0153,Landslide,deslizamento,13/01/2025,2025,1,13,08:00,borba,Évora,Borba,borba,,cmjornal,2025-04-22,web,https://www.cmjornal.pt/portugal/detalhe/decisao-sobre-derrocada-com-cinco-mortos-em-borba-conhecida-a-21-de-fevereiro,5,0,0,0,0
09f483ab66b259e817a3c456e721dbf2,Other,Other,05/01/2025,2025,1,5,08:00,estremoz,Évora,Estremoz,estremoz,,nortealentejo,2025-04-22,web,https://nortealentejo.pt/2025/01/05/mau-tempo-provoca-dois-acidentes-e-ferimentos-num-dos-condutores/,0,1,0,0,0
d1269f6c31768b08573879badd4ab47e,Flood,cheia,09/03/2025,2025,3,9,08:00,serpa,Beja,Serpa,serpa,,televisaodosul,2025-04-22,web,https://televisaodosul.pt/cheias-em-alcacer-do-sal-fomos-ver-as-zonas-mais-atingidas-drone/,0,1,0,0,0
e21d89dadb2a9a421b46a8654751f0a7,Flood,cheia,13/12/2022,2022,12,13,08:00,estremoz,Évora,Estremoz,estremoz,,observador,2025-04-22,web,https://observador.pt/2022/12/13/lisboa-nao-foi-o-unico-distrito-afetado-pelo-mau-tempo-portalegre-santarem-e-evora-tambem-registaram-danos/,0,0,0,4,0
3e7eecb909c8edf8fa1f3f990613d3be,Other,Other,02/10/2019,2019,10,2,07:00,aveiro,Aveiro,Aveiro,aveiro,,expresso,2025-04-22,web,https://expresso.pt/sociedade/2019-10-02-Furacao-Lorenzo.-Nos-Acores-as-tempestades-so-dizem-ate-ja,0,0,0,2,0
9e022f2dc74013c98f2910011cac26b4,Flood,inundacao,13/01/2025,2025,1,13,08:00,mora,Évora,Mora,mora,70703.0,rdnews,2025-04-22,web,https://www.rdnews.com.br/cidades/temporal-causou-44-alagamentos-e-previsao-aponta-mais-chuvas-nesta-2/205285,0,1,0,0,0
7a1adfb2fe9b9a13bcbb87de2b486695,Flood,cheia,10/11/2024,2024,11,10,08:00,mora,Évora,Mora,mora,70703.0,em,2025-04-22,web,https://www.em.com.br/gerais/2024/11/6985073-contra-cheias-em-bh-piscinao-e-a-saida-estudo-indica-opcao-ecologica.html,1,0,0,0,0
cbfb5df7713af68e2fb770b82f20c447,Other,Other,16/02/2011,2011,2,16,08:00,braga,Braga,Braga,braga,,sicnoticias,2025-04-22,web,https://sicnoticias.pt/pais/2011-02-16-neve-chuva-e-vento-fortes-provocam-estragos-pelo-continente-e-acores4,0,2,0,0,0
31b1a6dc8de150a984aaf3aa752263ea,Other,Other,04/01/2010,2010,1,4,08:00,évora,Évora,Évora,évora,,tvi,2025-04-22,web,https://tvi.iol.pt/noticias/sociedade/tornado/vila-vicosa-mau-tempo-arranca-arvores-e-chapas-de-metal-em-escola,0,0,0,6,0
bf84ffb3eefecb3648687b9851bec8fd,Flood,cheia,03/11/2015,2015,11,3,08:00,albufeira,Faro,Albufeira,albufeira,80101.0,ionline,2025-04-22,web,https://ionline.sapo.pt/2015/11/03/cheias-lojistas-de-albufeira-ainda-nao-receberam-pelos-estragos-de-2008/,1,0,0,0,0
d36686a3b13c7fd8d1d9f56fc8ef6b01,Flood,cheia,15/11/2024,2024,11,15,08:00,murtosa,Aveiro,Murtosa,murtosa,11203.0,noticiasaominuto,2025-04-22,web,https://www.noticiasaominuto.com/pais/2670645/agasalhe-se-chuva-forte-trovoada-e-granizo-poem-beja-e-faro-a-laranja,5,0,0,0,0
066cdb48c54e72678d985abc4d0b954e,Flood,cheia,29/09/2008,2008,9,29,07:00,mora,Évora,Mora,mora,70703.0,tvi,2025-04-22,web,https://tvi.iol.pt/noticias/sociedade/iol/mini-tornado-no-porto-de-lagos,0,7,7,2,0
be1bed904aecdd3862e5c1c3f39a25bd,Other,Other,19/11/2024,2024,11,19,08:00,castro marim,Faro,Castro Marim,castro marim,80402.0,cnnportugal,2025-04-22,web,https://cnnportugal.iol.pt/faro/algarve/chuva-e-trovoada-aviso-amarelo-por-causa-do-mau-tempo-no-algarve/20241119/673cb2b3d34ea1acf270cdcd,0,0,0,2,0
76a8c58c3e2c4a2f570cd57ec0337c72,Flood,cheia,05/05/2024,2024,5,5,07:00,mora,Évora,Mora,mora,70703.0,canalrural,2025-04-22,web,https://www.canalrural.com.br/tempo/defesa-civil-preve-risco-de-mais-alagamentos-no-rio-grande-do-sul/,0,0,0,0,101
af47bb565ad0c6285261261a4c6937c4,Landslide,deslizamento,11/04/2025,2025,4,11,07:00,arouca,Aveiro,Arouca,arouca,10403.0,noticiasaominuto,2025-04-22,web,https://www.noticiasaominuto.com/pais/2765909/leve-o-guarda-chuva-para-o-fim-de-semana-mau-tempo-vai-continuar,5,0,0,0,0
cd1a15ae2e857d24c1944e5ca34474e2,Flood,cheia,20/10/2016,2016,10,20,07:00,pombal,Leiria,Pombal,pombal,101509.0,jornaldeleiria,2025-04-22,web,https://www.jornaldeleiria.pt/noticia/pombal-recuperou-totalmente-das-cheias-de-2006-5240,1,0,0,0,0
