ID,QC_LEVEL,INFO_SOURCE,CONTACT,EMAIL,ORGANISATION,ORGANISATION_ID,NO_REVISION,PERSON_REVISION,TIME_EVENT,TIME_CREATION,TIME_LAST_REVISION,TIME_ACCURACY,COUNTRY,STATE,PLACE,PLACE_LOCAL_LANGUAGE,DETAILED_LOCATION,NEAREST_CITY,LATITUDE,LONGITUDE,PLACE_ACCURACY,OROGRAPHY,SURFACE_INITIAL_LOCATION,SURFACE_CROSSED,TYPE_EVENT,NO_OBJECTS,MAX_HAIL_DIAMETER,MAX_HAILSTONE_WEIGHT,AVERAGE_HAIL_DIAMETER,THICKNESS_HAIL_LAYER,HAILSTONE,F_SCALE,F_SCALE_METHOD,DI_OF_MAX_IF,DOD_OF_MAX_IF,T_SCALE,RATING_BASIS,WIND_SPEED,TEN_MIN_WIND_SPEED,FUNNEL_SIGHTED,SUCTION_VORTICES,PRECIPITATION_AMOUNT,SNOW_FALL_AMOUNT,PEAK_PRECIP_AMOUNT,PEAK_SNOW_FALL_AMOUNT,PEAK_PRECIP_PERIOD,MAX_6_HOUR_PRECIP,MAX_6_HOUR_SNOW_FALL,MAX_12_HOUR_PRECIP,MAX_12_HOUR_SNOW_FALL,MAX_24_HOUR_PRECIP,MAX_24_HOUR_SNOW_FALL,CONVECTIVE,TOTAL_DURATION,TYPE_PRECIP,SIZE_ACCOMPANYING_HAIL,POSSIBILITIES,PATH_LENGTH,MEAN_PATH_WIDTH,MAX_PATH_WIDTH,MAX_VERTICAL_DEVELOP,DIRECTION_MOVEMENT,SNOW_HAZARDS,MEAN_HEIGHT_SNOW_CORNICES,MAX_HEIGHT_SNOW_CORNICES,ICE_HAZARDS,THICKNESS_ICE_COVER,THICKNESS_RIME_COVER,AVALANCHE_TYPE,AVALANCHE_FLOW_TYPE,SNOW_MASS_TYPE,AVALANCHE_SIZE,AVALANCHE_TRIGGER,ELEVATION_START,ELEVATION_DIFFERENCE,LIGHTNING_DAMAGE_TO,PEAK_CURRENT,POLARITY,EXCEPT_ELEC_PHENOM,PROPERTY_DAMAGE,CROP_FOREST_DAMAGE,TOTAL_DAMAGE,NO_INJURED,NO_KILLED,EVENT_DESCRIPTION,PATH_START_LATITUDE,PATH_START_LONGITUDE,PATH_START_DATETIME,PATH_END_LATITUDE,PATH_END_LONGITUDE,PATH_END_DATETIME,EXT_URL,REFERENCE,IMPACTS,CREATOR_ID,REVISOR_ID,LINK_ORG,LINK_ID,DELETED
3926,QC1,"DMGPHOTO,WWW",Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,2025-03-17 18:00:00,2025-03-18 12:01:54,2025-03-18 12:01:54,1H,PT,Faro,Tavira,,,,37.117,-7.65,5KM,,,,Flood,,,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,https://www.facebook.com/MeteorologiaClimaAmbiente/posts/pfbid02xkoYw4R5ki8CASb1T6ddzzQbLzCvAJDcdLgkTes2Gnb3SixeJSEvHNHuG2wQvHagl,"Meteorologia, Clima e Ambiente (Facebook), 17 MAR 2025",T1E1,Thilo,Thilo,ESSL,3926,N
3878,QC1,"NWSP,DMGPHOTO",Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,2025-03-10 12:00:00,2025-03-11 08:56:16,2025-03-11 08:56:16,30M,PT,Lisboa,Alcântara,,,,38.7,-9.167,3KM,,,,Landslide,,,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,https://www.dn.pt/sociedade/chuva-provoca-inunda%C3%A7%C3%B5es-no-martim-moniz-e-em-alc%C3%A2ntara-e-faz-estragos-por-toda-a-grande-lisboa,"""""Chuva provoca inundações no Martim Moniz e em Alcântara e faz estragos por toda a Grande Lisboa"""", DIARIO DE NOTICIAS, 10 MAR 2025",T1H8,Thilo,Thilo,ESSL,3878,N
3879,QC1,NWSP,Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,2025-03-10 11:45:00,2025-03-11 08:58:37,2025-03-11 08:58:37,30M,PT,Lisboa,Tourinha,,,,38.995,-9.255,3KM,,,,Landslide,,,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,https://www.dn.pt/sociedade/chuva-provoca-inunda%C3%A7%C3%B5es-no-martim-moniz-e-em-alc%C3%A2ntara-e-faz-estragos-por-toda-a-grande-lisboa,https://www.dn.pt/sociedade/chuva-provoca-inunda%C3%A7%C3%B5es-no-martim-moniz-e-em-alc%C3%A2ntara-e-faz-estragos-por-toda-a-grande-lisboa,T1,Thilo,Thilo,ESSL,3879,N
3880,QC1,NWSP,Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,2025-03-10 11:45:00,2025-03-11 08:59:16,2025-03-11 08:59:16,30M,PT,Lisboa,Tareco,,,,39.003,-9.261,3KM,,,,Landslide,,,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,https://www.dn.pt/sociedade/chuva-provoca-inunda%C3%A7%C3%B5es-no-martim-moniz-e-em-alc%C3%A2ntara-e-faz-estragos-por-toda-a-grande-lisboa,https://www.dn.pt/sociedade/chuva-provoca-inunda%C3%A7%C3%B5es-no-martim-moniz-e-em-alc%C3%A2ntara-e-faz-estragos-por-toda-a-grande-lisboa,T1,Thilo,Thilo,ESSL,3880,N
3881,QC1,NWSP,Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,2025-03-10 11:45:00,2025-03-11 08:59:36,2025-03-11 08:59:36,30M,PT,Lisboa,Carvoeira,,,,39.083,-9.167,3KM,,,,Landslide,,,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,https://www.dn.pt/sociedade/chuva-provoca-inunda%C3%A7%C3%B5es-no-martim-moniz-e-em-alc%C3%A2ntara-e-faz-estragos-por-toda-a-grande-lisboa,https://www.dn.pt/sociedade/chuva-provoca-inunda%C3%A7%C3%B5es-no-martim-moniz-e-em-alc%C3%A2ntara-e-faz-estragos-por-toda-a-grande-lisboa,T1,Thilo,Thilo,ESSL,3881,N
3882,QC1,NWSP,Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,2025-03-10 11:40:00,2025-03-11 08:59:56,2025-03-11 08:59:56,30M,PT,Lisboa,São Julião,,,,38.933,-9.417,3KM,,,,Landslide,,,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,https://www.dn.pt/sociedade/chuva-provoca-inunda%C3%A7%C3%B5es-no-martim-moniz-e-em-alc%C3%A2ntara-e-faz-estragos-por-toda-a-grande-lisboa,https://www.dn.pt/sociedade/chuva-provoca-inunda%C3%A7%C3%B5es-no-martim-moniz-e-em-alc%C3%A2ntara-e-faz-estragos-por-toda-a-grande-lisboa,T1,Thilo,Thilo,ESSL,3882,N
3866,QC1,NWSP,Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,2025-03-08 08:55:00,2025-03-10 08:39:56,2025-03-10 08:39:56,15M,PT,Faro,Querença,,,,37.2,-7.983,5KM,,,,Landslide,,,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,https://www.sulinformacao.pt/2025/03/algarve-vento-provoca-queda-de-arvores-e-de-estruturas-chuva-causa-derrocadas-e-inundacoes/,"""""Algarve: Vento provoca queda de árvores e de estruturas, chuva causa derrocadas e inundações"""", SUINFORMACAO.pt, 08 MAR 2025",T1E1,Thilo,Thilo,ESSL,3866,N
3867,QC1,NWSP,Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,2025-03-08 08:45:00,2025-03-10 08:40:39,2025-03-10 08:40:39,15M,PT,Faro,Tôr,,,,37.19,-8.029,5KM,,,,Landslide,,,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,https://www.sulinformacao.pt/2025/03/algarve-vento-provoca-queda-de-arvores-e-de-estruturas-chuva-causa-derrocadas-e-inundacoes/,"""""Algarve: Vento provoca queda de árvores e de estruturas, chuva causa derrocadas e inundações"""", SUINFORMACAO.pt, 08 MAR 2025",T1E1,Thilo,Thilo,ESSL,3867,N
3868,QC1,NWSP,Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,2025-03-08 08:45:00,2025-03-10 08:40:53,2025-03-10 08:40:53,15M,PT,Faro,Benafim,,,,37.233,-8.133,5KM,,,,Flood,,,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,https://www.sulinformacao.pt/2025/03/algarve-vento-provoca-queda-de-arvores-e-de-estruturas-chuva-causa-derrocadas-e-inundacoes/,"""""Algarve: Vento provoca queda de árvores e de estruturas, chuva causa derrocadas e inundações"""", SUINFORMACAO.pt, 08 MAR 2025",T1E1,Thilo,Thilo,ESSL,3868,N
3869,QC1,NWSP,Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,2025-03-08 08:15:00,2025-03-10 08:41:38,2025-03-10 08:41:38,15M,PT,Faro,Monchique,,,,37.317,-8.55,5KM,,,,Flood,,,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,https://www.sulinformacao.pt/2025/03/algarve-vento-provoca-queda-de-arvores-e-de-estruturas-chuva-causa-derrocadas-e-inundacoes/,"""""Algarve: Vento provoca queda de árvores e de estruturas, chuva causa derrocadas e inundações"""", SUINFORMACAO.pt, 08 MAR 2025",T1E1,Thilo,Thilo,ESSL,3869,N
