ID,type,subtype,date,year,month,day,hour,georef,district,municipali,parish,DICOFREG,source,sourcedate,sourcetype,page,fatalities,injured,evacuated,displaced,missing,relevance_score,evento_nome
13837764719d8a07809d2eb351a78953,Other,Other,27/05/2025,2025,5,27,19:28,braga,Braga,Braga,braga,nan,bragatv,2025-05-29,web,https://bragatv.pt/ha-uma-instalacao-de-chuva-de-luz-para-ver-em-braga/,0,0,0,0,0,1,desconhecido
bb2ba83dd9d6d07ed27f346ab5a73234,Other,Other,28/05/2025,2025,5,28,14:55,aveiro,Aveiro,Aveiro,aveiro,nan,executivedigest,2025-05-29,web,https://executivedigest.sapo.pt/noticias/calor-sol-mas-tambem-chuva-e-trovoada-o-que-esperar-do-estado-do-tempo-para-junho/,0,0,0,0,0,1,desconhecido
